kept_transcripts	age<50&storm	ref	var
BARD1	1	83	0
BBS12	0	684	1
BBS12	1	83	0
BBS4	0	684	1
BBS4	1	83	0
BBS7	0	680	5
BBS7	1	82	1
BBS9	0	684	1
BBS9	1	83	0
BCAT2	0	685	0
BCAT2	1	82	1
BCHE	0	684	1
BCHE	1	82	1
BCKDHB	0	684	1
BCKDHB	1	83	0
BCL10	0	684	1
BCL10	1	83	0
BCS1L	0	685	0
BCS1L	1	82	1
BDNF	0	684	1
BDNF	1	83	0
BEAN1	0	684	1
BEAN1	1	83	0
BFSP1	0	675	10
BFSP1	1	82	1
BIN1	0	684	1
BIN1	1	83	0
BIVM-ERCC5	0	682	3
BIVM-ERCC5	1	83	0
BLK	0	683	2
BLK	1	83	0
BLOC1S3	0	684	1
BLOC1S3	1	83	0
BLOC1S6	0	675	10
BLOC1S6	1	83	0
BMPR1A	0	684	1
BMPR1A	1	83	0
BRAT1	0	683	2
BRAT1	1	83	0
BRCA1	0	684	1
BRCA1	1	83	0
BRCA2	0	669	16
BRCA2	1	75	8
BRIP1	0	682	3
BRIP1	1	83	0
BTD	0	680	5
BTD	1	81	2
C12orf65	0	684	1
C12orf65	1	83	0
C19orf12	0	684	1
C19orf12	1	83	0
C1R	0	676	9
C1R	1	82	1
C2CD3	0	684	1
C2CD3	1	83	0
C3	0	685	0
C3	1	83	0
C5	0	684	1
C5	1	83	0
C6	0	675	10
C6	1	83	0
C7	0	684	1
C7	1	83	0
C8A	0	683	2
C8A	1	83	0
C8B	0	675	10
C8B	1	82	1
C9	0	678	7
C9	1	81	2
C9orf72	0	683	2
C9orf72	1	83	0
CA12	0	684	1
CA12	1	83	0
CABP2	0	682	3
CABP2	1	83	0
CABP4	0	685	0
CABP4	1	83	0
CACNA1A	0	684	1
CACNA1A	1	83	0
CACNA1B	0	684	1
CACNA1B	1	83	0
CACNA1D	0	684	1
CACNA1D	1	83	0
CACNA1H	0	682	3
CACNA1H	1	83	0
CACNA2D4	0	683	2
CACNA2D4	1	83	0
CACNB2	0	685	0
CACNB2	1	83	0
CANT1	0	685	0
CANT1	1	83	0
CAPN3	0	681	4
CAPN3	1	83	0
CAPN5	0	684	1
CAPN5	1	83	0
CARD14	0	684	1
CARD14	1	83	0
CARD9	0	677	8
CARD9	1	83	0
CARS2	0	681	4
CARS2	1	82	1
CASP8	0	639	46
CASP8	1	80	3
CASQ2	0	685	0
CASQ2	1	82	1
CAT	0	685	0
CAT	1	82	1
CATSPER1	0	678	7
CATSPER1	1	82	1
CATSPER2	0	684	1
CATSPER2	1	83	0
CAVIN4	0	684	1
CAVIN4	1	83	0
CC2D1A	0	685	0
CC2D1A	1	83	0
CC2D2A	0	683	2
CC2D2A	1	83	0
CCDC103	0	684	1
CCDC103	1	83	0
CCDC114	0	684	1
CCDC114	1	83	0
CCDC151	0	684	1
CCDC151	1	83	0
CCDC39	0	663	22
CCDC39	1	81	2
CCDC40	0	684	1
CCDC40	1	83	0
CCDC78	0	683	2
CCDC78	1	83	0
CCDC8	0	684	1
CCDC8	1	83	0
CCDC88C	0	684	1
CCDC88C	1	83	0
CCNO	0	684	1
CCNO	1	83	0
CCR5	0	684	1
CCR5	1	83	0
CD36	0	656	29
CD36	1	79	4
CD3E	0	685	0
CD3E	1	82	1
CD3G	0	669	16
CD3G	1	80	3
CD96	0	681	4
CD96	1	83	0
CDH15	0	684	1
CDH15	1	82	1
CDH23	0	685	0
CDH23	1	83	0
CDK5RAP2	0	680	5
CDK5RAP2	1	83	0
CDKN2B	0	684	1
CDKN2B	1	83	0
CDON	0	684	1
CDON	1	83	0
CEACAM16	0	684	1
CEACAM16	1	83	0
CEL	0	683	2
CEL	1	83	0
CENPE	0	684	1
CENPE	1	83	0
CENPJ	0	683	2
CENPJ	1	83	0
CEP135	0	683	2
CEP135	1	83	0
CEP152	0	682	3
CEP152	1	83	0
CEP164	0	676	9
CEP164	1	83	0
CEP290	0	680	5
CEP290	1	82	1
CEP63	0	683	2
CEP63	1	83	0
CETP	0	684	1
CETP	1	82	1
CFAP206	0	676	9
CFAP206	1	82	1
CFH	0	675	10
CFH	1	82	1
CFHR2	0	676	9
CFHR2	1	81	2
CFHR3	0	684	1
CFHR3	1	83	0
CFHR4	0	682	3
CFHR4	1	83	0
CFHR5	0	682	3
CFHR5	1	83	0
CFI	0	683	2
CFI	1	83	0
CFTR	0	683	2
CFTR	1	83	0
CHD8	0	684	1
CHD8	1	83	0
CHEK1	0	673	12
CHEK1	1	79	4
CHEK2	0	683	2
CHEK2	1	82	1
CHIT1	0	678	7
CHIT1	1	83	0
CHKB	0	684	1
CHKB	1	83	0
CHMP1A	0	683	2
CHMP1A	1	83	0
CHMP2B	0	684	1
CHMP2B	1	83	0
CHRNA5	0	684	1
CHRNA5	1	83	0
CHRNB2	0	684	1
CHRNB2	1	83	0
CHRNB4	0	684	1
CHRNB4	1	83	0
CHRNE	0	682	3
CHRNE	1	83	0
CHRNG	0	684	1
CHRNG	1	83	0
CHST5	0	684	1
CHST5	1	83	0
CHST6	0	684	1
CHST6	1	83	0
CIDEC	0	684	1
CIDEC	1	83	0
CILP	0	683	2
CILP	1	83	0
CITED2	0	684	1
CITED2	1	83	0
CLCN1	0	667	18
CLCN1	1	77	6
CLCN2	0	684	1
CLCN2	1	83	0
CLCN7	0	680	5
CLCN7	1	82	1
