kept_transcripts	age<50&storm	ref	var
LOXL1	0	684	1
LOXL1	1	83	0
LPAR6	0	672	13
LPAR6	1	80	3
LRBA	0	683	2
LRBA	1	83	0
LRP8	0	684	1
LRP8	1	83	0
LRPAP1	0	684	1
LRPAP1	1	83	0
LRPPRC	0	684	1
LRPPRC	1	83	0
LRRC6	0	684	1
LRRC6	1	83	0
LRRK2	0	682	3
LRRK2	1	83	0
LRTOMT	0	684	1
LRTOMT	1	83	0
LTBP4	0	684	1
LTBP4	1	83	0
LYRM4	0	684	1
LYRM4	1	83	0
LYST	0	678	7
LYST	1	82	1
LZTFL1	0	685	0
LZTFL1	1	83	0
LZTR1	0	683	2
LZTR1	1	83	0
MAD1L1	0	682	3
MAD1L1	1	83	0
MALT1	0	684	1
MALT1	1	83	0
MAN2B1	0	683	2
MAN2B1	1	83	0
MAP3K1	0	683	2
MAP3K1	1	83	0
MARS1	0	684	1
MARS1	1	83	0
MARS2	0	683	2
MARS2	1	83	0
MASP2	0	684	1
MASP2	1	83	0
MASTL	0	683	2
MASTL	1	83	0
MAT1A	0	684	1
MAT1A	1	83	0
MATN3	0	683	2
MATN3	1	83	0
MATR3	0	682	3
MATR3	1	83	0
MBL2	0	684	1
MBL2	1	83	0
MC1R	0	682	3
MC1R	1	83	0
MCEE	0	683	2
MCEE	1	83	0
MCOLN1	0	684	1
MCOLN1	1	83	0
MCPH1	0	684	1
MCPH1	1	82	1
MED13L	0	683	2
MED13L	1	82	1
MEFV	0	684	1
MEFV	1	83	0
MEGF8	0	684	1
MEGF8	1	83	0
MERTK	0	680	5
MERTK	1	83	0
MESP2	0	684	1
MESP2	1	83	0
METTL23	0	683	2
METTL23	1	83	0
MFF	0	680	5
MFF	1	82	1
MFRP	0	684	1
MFRP	1	83	0
MFSD8	0	684	1
MFSD8	1	83	0
MGP	0	684	1
MGP	1	83	0
MIB1	0	684	1
MIB1	1	83	0
MLH3	0	685	0
MLH3	1	82	1
MLPH	0	683	2
MLPH	1	83	0
MMAA	0	684	1
MMAA	1	83	0
MMACHC	0	684	1
MMACHC	1	83	0
MMP1	0	633	52
MMP1	1	81	2
MMP20	0	684	1
MMP20	1	83	0
MMP9	0	685	0
MMP9	1	82	1
MOGS	0	684	1
MOGS	1	83	0
MPI	0	684	1
MPI	1	83	0
MPLKIP	0	684	1
MPLKIP	1	83	0
MPO	0	668	17
MPO	1	81	2
MRE11	0	684	1
MRE11	1	83	0
MRPL3	0	684	1
MRPL3	1	83	0
MRPS22	0	685	0
MRPS22	1	83	0
MS4A2	0	682	3
MS4A2	1	83	0
MSH3	0	681	4
MSH3	1	83	0
MSH6	0	683	2
MSH6	1	83	0
MSR1	0	673	12
MSR1	1	82	1
MSTN	0	684	1
MSTN	1	83	0
MTFMT	0	683	2
MTFMT	1	83	0
MTHFR	0	684	1
MTHFR	1	83	0
MTMR14	0	684	1
MTMR14	1	83	0
MTMR2	0	675	10
MTMR2	1	82	1
MTO1	0	685	0
MTO1	1	83	0
MTR	0	674	11
MTR	1	82	1
MUC1	0	685	0
MUC1	1	83	0
MUC5B	0	667	18
MUC5B	1	82	1
MUTYH	0	684	1
MUTYH	1	82	1
MYF6	0	684	1
MYF6	1	83	0
MYH1	0	684	1
MYH1	1	82	1
MYH2	0	685	0
MYH2	1	82	1
MYH6	0	680	5
MYH6	1	83	0
MYH8	0	675	10
MYH8	1	81	2
MYLK	0	684	1
MYLK	1	83	0
MYLKP1	0	639	46
MYLKP1	1	80	3
MYO15A	0	679	6
MYO15A	1	82	1
MYO1A	0	682	3
MYO1A	1	82	1
MYO1C	0	678	7
MYO1C	1	83	0
MYO1F	0	684	1
MYO1F	1	83	0
MYO3A	0	681	4
MYO3A	1	82	1
MYO5B	0	684	1
MYO5B	1	83	0
MYO7A	0	684	1
MYO7A	1	83	0
MYO9B	0	670	15
MYO9B	1	80	3
MYOC	0	682	3
MYOC	1	83	0
MYOT	0	684	1
MYOT	1	83	0
MYOZ2	0	684	1
MYOZ2	1	83	0
MYPN	0	684	1
MYPN	1	83	0
NAGLU	0	684	1
NAGLU	1	83	0
NAGPA	0	669	16
NAGPA	1	82	1
NARS2	0	684	1
NARS2	1	83	0
NBAS	0	679	6
NBAS	1	83	0
NBEAL2	0	683	2
NBEAL2	1	82	1
NBN	0	681	4
NBN	1	82	1
NCF1	0	684	1
NCF1	1	83	0
NDUFA12	0	684	1
NDUFA12	1	83	0
NDUFA7	0	685	0
NDUFA7	1	83	0
NDUFA9	0	684	1
NDUFA9	1	83	0
NDUFAF3	0	684	1
NDUFAF3	1	83	0
NDUFAF6	0	682	3
NDUFAF6	1	83	0
NDUFAF7	0	637	48
NDUFAF7	1	74	9
NDUFB3	0	684	1
NDUFB3	1	83	0
NDUFB9	0	683	2
NDUFB9	1	83	0
NDUFS3	0	683	2
NDUFS3	1	83	0
NDUFS4	0	684	1
NDUFS4	1	83	0
NDUFV3	0	674	11
NDUFV3	1	81	2
NEB	0	672	13
NEB	1	81	2
NEBL	0	678	7
NEBL	1	83	0
NEDD4	0	684	1
NEDD4	1	83	0
NEFL	0	684	1
NEFL	1	83	0
NEK1	0	683	2
NEK1	1	83	0
NEK2	0	684	1
NEK2	1	83	0
NEK8	0	684	1
NEK8	1	83	0
NF1	0	684	1
NF1	1	82	1
NFKB2	0	681	4
NFKB2	1	82	1
NFU1	0	684	1
NFU1	1	83	0
NGF	0	685	0
NGF	1	83	0
NGLY1	0	684	1
NGLY1	1	83	0
NKX2-1	0	684	1
NKX2-1	1	83	0
NLRC4	0	681	4
NLRC4	1	81	2
NOD2	0	618	67
NOD2	1	73	10
NOL3	0	684	1
NOL3	1	83	0
NOS3	0	684	1
NOS3	1	83	0
NOTCH1	0	684	1
NOTCH1	1	83	0
NOTCH3	0	683	2
NOTCH3	1	83	0
NPC1	0	684	1
NPC1	1	83	0
NPC2	0	684	1
NPC2	1	83	0
NPHP3	0	683	2
NPHP3	1	82	1
NPHP4	0	684	1
NPHP4	1	82	1
NPHS2	0	684	1
NPHS2	1	83	0
NPSR1	0	683	2
NPSR1	1	82	1
NR2E3	0	684	1
NR2E3	1	83	0
NR3C1	0	684	1
NR3C1	1	83	0
NR4A2	0	685	0
NR4A2	1	83	0
NR5A2	0	684	1
NR5A2	1	83	0
NSD2	0	683	2
NSD2	1	81	2
NTHL1	0	680	5
NTHL1	1	83	0
NTRK1	0	683	2
NTRK1	1	83	0
OBSL1	0	669	16
OBSL1	1	82	1
OPRM1	0	684	1
OPRM1	1	83	0
OPTN	0	682	3
OPTN	1	83	0
ORAI1	0	675	10
ORAI1	1	81	2
ORC4	0	684	1
ORC4	1	83	0
ORC6	0	684	1
ORC6	1	83	0
OTOA	0	633	52
OTOA	1	77	6
OTOF	0	683	2
OTOF	1	83	0
OTOG	0	676	9
OTOG	1	83	0
OTOGL	0	682	3
OTOGL	1	82	1
OXA1L	0	680	5
OXA1L	1	83	0
P2RX2	0	682	3
P2RX2	1	83	0
PADI4	0	682	3
PADI4	1	83	0
PAFAH1B1	0	684	1
PAFAH1B1	1	83	0
PAH	0	684	1
PAH	1	83	0
PAX4	0	683	2
PAX4	1	83	0
PCARE	0	684	1
PCARE	1	82	1
PCDH15	0	684	1
PCDH15	1	83	0
PCK2	0	683	2
PCK2	1	82	1
PCSK1	0	685	0
PCSK1	1	83	0
PCSK9	0	684	1
PCSK9	1	83	0
PDE11A	0	676	9
PDE11A	1	80	3
PDE6B	0	633	52
PDE6B	1	74	9
PDE6C	0	684	1
PDE6C	1	83	0
PDE6H	0	684	1
PDE6H	1	83	0
PDSS2	0	684	1
PDSS2	1	83	0
PDX1	0	684	1
PDX1	1	83	0
PDZD7	0	684	1
PDZD7	1	83	0
PEX1	0	672	13
PEX1	1	80	3
PEX14	0	684	1
PEX14	1	83	0
PEX7	0	678	7
PEX7	1	83	0
PFKM	0	685	0
PFKM	1	82	1
PFN1	0	681	4
PFN1	1	82	1
PGAM2	0	685	0
PGAM2	1	83	0
PHC1	0	681	4
PHC1	1	83	0
PHKB	0	661	24
PHKB	1	81	2
PIEZO1	0	647	38
PIEZO1	1	79	4
PIGO	0	683	2
PIGO	1	83	0
PIGT	0	684	1
PIGT	1	83	0
PIGV	0	684	1
PIGV	1	83	0
PIKFYVE	0	684	1
PIKFYVE	1	82	1
PKHD1	0	682	3
PKHD1	1	82	1
PKP2	0	684	1
PKP2	1	83	0
PLA2G7	0	684	1
PLA2G7	1	83	0
PLCE1	0	684	1
PLCE1	1	83	0
PLEC	0	684	1
PLEC	1	83	0
PLEKHG5	0	684	1
PLEKHG5	1	83	0
PLOD2	0	684	1
PLOD2	1	83	0
PMM2	0	684	1
PMM2	1	83	0
PMP22	0	680	5
PMP22	1	83	0
PMS1	0	684	1
PMS1	1	82	1
PNKD	0	683	2
PNKD	1	83	0
PNKP	0	681	4
PNKP	1	83	0
PNPLA1	0	663	22
PNPLA1	1	82	1
PNPLA3	0	684	1
PNPLA3	1	83	0
PNPLA6	0	684	1
PNPLA6	1	83	0
POGLUT1	0	683	2
POGLUT1	1	83	0
POLE	0	682	3
POLE	1	83	0
POLG	0	684	1
POLG	1	83	0
POLR3B	0	683	2
POLR3B	1	83	0
POM121L9P	0	677	8
POM121L9P	1	81	2
POMC	0	683	2
POMC	1	82	1
POMGNT1	0	682	3
POMGNT1	1	83	0
POMK	0	683	2
POMK	1	83	0
POMP	0	684	1
POMP	1	83	0
POMT1	0	678	7
POMT1	1	83	0
POMT2	0	684	1
POMT2	1	83	0
POR	0	684	1
POR	1	83	0
PPP2R1B	0	684	1
PPP2R1B	1	83	0
PRDM5	0	684	1
PRDM5	1	83	0
PRF1	0	684	1
PRF1	1	83	0
PRIMPOL	0	683	2
PRIMPOL	1	83	0
PROS1	0	685	0
PROS1	1	83	0
PRPF6	0	682	3
PRPF6	1	83	0
PRPH	0	680	5
PRPH	1	82	1
PRPS1L1	0	657	28
PRPS1L1	1	82	1
PRSS12	0	674	11
PRSS12	1	81	2
PRX	0	683	2
PRX	1	83	0
PSAT1	0	684	1
PSAT1	1	83	0
PSMA6	0	684	1
PSMA6	1	83	0
PSPHP1	0	673	12
PSPHP1	1	79	4
PTCH2	0	682	3
PTCH2	1	82	1
PTGIS	0	682	3
PTGIS	1	83	0
PTH	0	684	1
PTH	1	83	0
PTPN22	0	681	4
PTPN22	1	81	2
PTPRC	0	685	0
PTPRC	1	83	0
PTPRQ	0	684	1
PTPRQ	1	82	1
PTS	0	684	1
PTS	1	83	0
PUS1	0	684	1
PUS1	1	83	0
PYCR1	0	684	1
PYCR1	1	83	0
PYGL	0	684	1
PYGL	1	83	0
PYGM	0	684	1
PYGM	1	83	0
RAB18	0	676	9
RAB18	1	83	0
RAB27A	0	684	1
RAB27A	1	83	0
RAB3GAP1	0	684	1
RAB3GAP1	1	83	0
RAB3GAP2	0	684	1
RAB3GAP2	1	83	0
RAD21	0	681	4
RAD21	1	83	0
RAD50	0	644	41
RAD50	1	76	7
RAD51B	0	684	1
RAD51B	1	83	0
RAD54B	0	684	1
RAD54B	1	83	0
RAG1	0	684	1
RAG1	1	83	0
RAG2	0	684	1
RAG2	1	83	0
RANGRF	0	675	10
RANGRF	1	82	1
RARS2	0	684	1
RARS2	1	83	0
RASA1	0	681	4
RASA1	1	83	0
RBBP8	0	680	5
RBBP8	1	83	0
RBP3	0	684	1
RBP3	1	83	0
RCBTB1	0	684	1
RCBTB1	1	83	0
RD3	0	684	1
RD3	1	83	0
RDH11	0	684	1
RDH11	1	83	0
RDH5	0	684	1
RDH5	1	83	0
RECQL4	0	683	2
RECQL4	1	83	0
REEP2	0	684	1
REEP2	1	83	0
RELN	0	681	4
RELN	1	83	0
RFX5	0	684	1
RFX5	1	83	0
RFXAP	0	685	0
RFXAP	1	82	1
RGR	0	685	0
RGR	1	83	0
RGS9	0	684	1
RGS9	1	82	1
RGS9BP	0	682	3
RGS9BP	1	83	0
RIMS1	0	684	1
RIMS1	1	83	0
RIN2	0	682	3
RIN2	1	83	0
RIPK4	0	680	5
RIPK4	1	82	1
RMND1	0	684	1
RMND1	1	83	0
RNASEH2A	0	684	1
RNASEH2A	1	83	0
RNASEH2B	0	680	5
RNASEH2B	1	83	0
RNASEL	0	675	10
RNASEL	1	82	1
RNASET2	0	684	1
RNASET2	1	83	0
RNF212	0	681	4
RNF212	1	83	0
RNF213	0	683	2
RNF213	1	82	1
ROBO3	0	684	1
ROBO3	1	83	0
ROM1	0	679	6
ROM1	1	83	0
RP1	0	684	1
RP1	1	83	0
RP1L1	0	675	10
RP1L1	1	83	0
RPE65	0	683	2
RPE65	1	83	0
RPGRIP1	0	684	1
RPGRIP1	1	83	0
RPGRIP1L	0	684	1
RPGRIP1L	1	83	0
RSPH1	0	685	0
RSPH1	1	82	1
RTEL1-TNFRSF6B	0	684	1
RTEL1-TNFRSF6B	1	82	1
RTN2	0	683	2
RTN2	1	83	0
RTTN	0	684	1
RTTN	1	82	1
RYR1	0	680	5
RYR1	1	82	1
RYR2	0	668	17
RYR2	1	81	2
SACS	0	678	7
SACS	1	82	1
SALL2	0	683	2
SALL2	1	83	0
SAMHD1	0	684	1
SAMHD1	1	83	0
SARDH	0	683	2
SARDH	1	83	0
SBDS	0	676	9
SBDS	1	83	0
SBF1	0	682	3
SBF1	1	83	0
SBF2-AS1	0	678	7
SBF2-AS1	1	83	0
SCN10A	0	642	43
SCN10A	1	80	3
SCN11A	0	684	1
SCN11A	1	83	0
SCN4A	0	678	7
SCN4A	1	83	0
SCN9A	0	684	1
SCN9A	1	83	0
SCNN1B	0	684	1
SCNN1B	1	83	0
SCO2	0	683	2
SCO2	1	83	0
SCP2	0	680	5
SCP2	1	83	0
SDHA	0	642	43
SDHA	1	80	3
SDHAP1	0	630	55
SDHAP1	1	80	3
SEC23B	0	684	1
SEC23B	1	83	0
SEC63	0	674	11
SEC63	1	81	2
SELENON	0	684	1
SELENON	1	83	0
SELP	0	683	2
SELP	1	83	0
SEMA3E	0	677	8
SEMA3E	1	83	0
SEMA4A	0	683	2
SEMA4A	1	83	0
SEPTIN12	0	683	2
SEPTIN12	1	83	0
SERPINA3	0	684	1
SERPINA3	1	82	1
SERPING1	0	684	1
SERPING1	1	83	0
SERPINI1	0	684	1
SERPINI1	1	83	0
SETBP1	0	684	1
SETBP1	1	83	0
SETD5	0	684	1
SETD5	1	83	0
SETX	0	683	2
SETX	1	83	0
SFTPA1	0	683	2
SFTPA1	1	82	1
SFTPB	0	684	1
SFTPB	1	83	0
SFXN4	0	682	3
SFXN4	1	82	1
SGCB	0	684	1
SGCB	1	83	0
SH3BP2	0	683	2
SH3BP2	1	83	0
SH3PXD2B	0	684	1
SH3PXD2B	1	83	0
SH3TC2	0	684	1
SH3TC2	1	82	1
SHANK2	0	684	1
SHANK2	1	83	0
SHMT1	0	682	3
SHMT1	1	83	0
SI	0	682	3
SI	1	83	0
SIAE	0	683	2
SIAE	1	83	0
SIL1	0	684	1
SIL1	1	83	0
SIM1	0	684	1
SIM1	1	83	0
SIX3	0	682	3
SIX3	1	83	0
SLC10A2	0	684	1
SLC10A2	1	83	0
SLC12A3	0	684	1
SLC12A3	1	83	0
SLC12A6	0	684	1
SLC12A6	1	83	0
SLC19A2	0	685	0
SLC19A2	1	83	0
SLC22A5	0	684	1
SLC22A5	1	83	0
SLC24A1	0	684	1
SLC24A1	1	83	0
SLC25A2	0	669	16
SLC25A2	1	81	2
SLC25A20	0	685	0
SLC25A20	1	83	0
SLC26A2	0	685	0
SLC26A2	1	82	1
SLC26A3	0	684	1
SLC26A3	1	83	0
SLC26A4	0	683	2
SLC26A4	1	83	0
SLC26A5	0	672	13
SLC26A5	1	80	3
SLC27A4	0	684	1
SLC27A4	1	83	0
SLC2A2	0	684	1
SLC2A2	1	83	0
SLC2A9	0	683	2
SLC2A9	1	83	0
SLC34A1	0	677	8
SLC34A1	1	82	1
SLC34A3	0	677	8
SLC34A3	1	82	1
SLC35D1	0	683	2
SLC35D1	1	83	0
SLC37A4	0	0	685
SLC37A4	1	0	83
SLC38A8	0	684	1
SLC38A8	1	83	0
SLC39A5	0	678	7
SLC39A5	1	83	0
SLC4A10	0	684	1
SLC4A10	1	83	0
SLC4A11	0	649	36
SLC4A11	1	79	4
SLC5A1	0	684	1
SLC5A1	1	83	0
SLC5A2	0	684	1
SLC5A2	1	83	0
SLC6A2	0	684	1
SLC6A2	1	83	0
SLC6A20	0	682	3
SLC6A20	1	83	0
SLC9A9	0	684	1
SLC9A9	1	83	0
SLCO1B1	0	684	1
SLCO1B1	1	83	0
SLCO1B3	0	675	10
SLCO1B3	1	82	1
SLCO1B7	0	680	5
SLCO1B7	1	82	1
SLMAP	0	679	6
SLMAP	1	83	0
SLX4	0	681	4
SLX4	1	82	1
SMAD4	0	674	11
SMAD4	1	80	3
SMARCA2	0	684	1
SMARCA2	1	83	0
SMARCA4	0	684	1
SMARCA4	1	83	0
SMARCAL1	0	684	1
SMARCAL1	1	83	0
SMCHD1	0	684	1
SMCHD1	1	83	0
SMOC1	0	685	0
SMOC1	1	82	1
SMPD1	0	668	17
SMPD1	1	81	2
SOST	0	684	1
SOST	1	83	0
SPAG1	0	683	2
SPAG1	1	83	0
SPATA16	0	685	0
SPATA16	1	83	0
SPEG	0	683	2
SPEG	1	83	0
SPG11	0	682	3
SPG11	1	83	0
SPG21	0	685	0
SPG21	1	82	1
SPINK1	0	683	2
SPINK1	1	83	0
SPINK5	0	683	2
SPINK5	1	83	0
SPTA1	0	685	0
SPTA1	1	83	0
SPTB	0	685	0
SPTB	1	83	0
SPTBN2	0	683	2
SPTBN2	1	83	0
SQSTM1	0	684	1
SQSTM1	1	83	0
SRCAP	0	680	5
SRCAP	1	81	2
ST3GAL5	0	684	1
ST3GAL5	1	83	0
STAC3	0	685	0
STAC3	1	82	1
STAT2	0	684	1
STAT2	1	83	0
STAT5B	0	681	4
STAT5B	1	83	0
STIL	0	681	4
STIL	1	83	0
STIM1	0	677	8
STIM1	1	83	0
STING1	0	683	2
STING1	1	83	0
STOX1	0	685	0
STOX1	1	83	0
STRA6	0	684	1
STRA6	1	83	0
STRC	0	683	2
STRC	1	83	0
STT3A	0	683	2
STT3A	1	83	0
STXBP2	0	684	1
STXBP2	1	83	0
SUCLA2	0	684	1
SUCLA2	1	83	0
SUGCT	0	684	1
SUGCT	1	83	0
SURF1	0	684	1
SURF1	1	83	0
SYCP3	0	673	12
SYCP3	1	82	1
SYNE1	0	681	4
SYNE1	1	83	0
SYNE2	0	684	1
SYNE2	1	83	0
SYNE4	0	684	1
SYNE4	1	83	0
SZT2	0	683	2
SZT2	1	83	0
TBCE	0	682	3
TBCE	1	82	1
TBX19	0	683	2
TBX19	1	83	0
TBXAS1	0	683	2
TBXAS1	1	83	0
TCIRG1	0	684	1
TCIRG1	1	82	1
TCN1	0	684	1
TCN1	1	83	0
TCTN2	0	685	0
TCTN2	1	83	0
TCTN3	0	684	1
TCTN3	1	83	0
TECR	0	684	1
TECR	1	83	0
TEK	0	684	1
TEK	1	83	0
TET2	0	678	7
TET2	1	82	1
TG	0	681	4
TG	1	82	1
TGFBI	0	685	0
TGFBI	1	82	1
TGM1	0	685	0
TGM1	1	82	1
TGM5	0	684	1
TGM5	1	83	0
TGM6	0	684	1
TGM6	1	82	1
TH	0	684	1
TH	1	83	0
TIRAP	0	684	1
TIRAP	1	82	1
TLDC2	0	681	4
TLDC2	1	82	1
TLR1	0	684	1
TLR1	1	82	1
TLR2	0	682	3
TLR2	1	83	0
TLR5	0	635	50
TLR5	1	78	5
TMC1	0	684	1
TMC1	1	83	0
TMC6	0	683	2
TMC6	1	83	0
TMC8	0	684	1
TMC8	1	83	0
TMEM126A	0	685	0
TMEM126A	1	82	1
TMEM67	0	684	1
TMEM67	1	83	0
TMEM70	0	683	2
TMEM70	1	83	0
TMPRSS3	0	684	1
TMPRSS3	1	83	0
TMPRSS5	0	677	8
TMPRSS5	1	82	1
TNFRSF1A	0	684	1
TNFRSF1A	1	83	0
TNFSF11	0	685	0
TNFSF11	1	83	0
TNNT2	0	684	1
TNNT2	1	83	0
TNNT3	0	668	17
TNNT3	1	82	1
TOPORS	0	683	2
TOPORS	1	83	0
TOR1AIP1	0	677	8
TOR1AIP1	1	83	0
TPCN2	0	683	2
TPCN2	1	83	0
TPI1	0	683	2
TPI1	1	83	0
TPMT	0	683	2
TPMT	1	83	0
TPP1	0	682	3
TPP1	1	83	0
TPRN	0	684	1
TPRN	1	83	0
TRAPPC11	0	684	1
TRAPPC11	1	83	0
TRAPPC2B	0	685	0
TRAPPC2B	1	83	0
TRDN	0	683	2
TRDN	1	83	0
TRIM32	0	684	1
TRIM32	1	83	0
TRIOBP	0	680	5
TRIOBP	1	83	0
TRMT10A	0	684	1
TRMT10A	1	83	0
TRNT1	0	684	1
TRNT1	1	83	0
TRPC6	0	685	0
TRPC6	1	82	1
TRPM4	0	680	5
TRPM4	1	82	1
TRPV4	0	683	2
TRPV4	1	83	0
TSEN54	0	683	2
TSEN54	1	83	0
TSFM	0	681	4
TSFM	1	83	0
TSHZ1	0	662	23
TSHZ1	1	79	4
TSPEAR	0	684	1
TSPEAR	1	83	0
TTBK2	0	684	1
TTBK2	1	83	0
TTC21B	0	684	1
TTC21B	1	83	0
TTC37	0	685	0
TTC37	1	83	0
TTC7A	0	683	2
TTC7A	1	83	0
TTC8	0	684	1
TTC8	1	83	0
TTI2	0	682	3
TTI2	1	82	1
TTLL5	0	677	8
TTLL5	1	82	1
TTN	0	675	10
TTN	1	83	0
TTN-AS1	0	676	9
TTN-AS1	1	82	1
TTR	0	684	1
TTR	1	83	0
TUBB3	0	684	1
TUBB3	1	83	0
TUBG2	0	684	1
TUBG2	1	83	0
TUBGCP6	0	683	2
TUBGCP6	1	83	0
TULP1	0	684	1
TULP1	1	83	0
TUSC3	0	683	2
TUSC3	1	83	0
TXNRD2	0	684	1
TXNRD2	1	83	0
TYR	0	684	1
TYR	1	83	0
TYRP1	0	684	1
TYRP1	1	83	0
UBR1	0	683	2
UBR1	1	83	0
UCP2	0	684	1
UCP2	1	83	0
UGT1A3	0	684	1
UGT1A3	1	83	0
UGT1A4	0	684	1
UGT1A4	1	83	0
UGT1A5	0	683	2
UGT1A5	1	83	0
UGT1A9	0	685	0
UGT1A9	1	83	0
UNC119	0	684	1
UNC119	1	83	0
UNC13D	0	684	1
UNC13D	1	83	0
UPB1	0	676	9
UPB1	1	81	2
UPK3A	0	677	8
UPK3A	1	81	2
UQCC2	0	684	1
UQCC2	1	83	0
UQCRB	0	679	6
UQCRB	1	80	3
UROD	0	684	1
UROD	1	83	0
UROS	0	684	1
UROS	1	83	0
USH2A	0	674	11
USH2A	1	81	2
UTP14C	0	669	16
UTP14C	1	83	0
VCL	0	684	1
VCL	1	83	0
VCP	0	661	24
VCP	1	81	2
VEGFA	0	684	1
VEGFA	1	83	0
VHL	0	684	1
VHL	1	83	0
VIPAS39	0	684	1
VIPAS39	1	83	0
VLDLR	0	684	1
VLDLR	1	83	0
VPS13A	0	683	2
VPS13A	1	81	2
VPS13B	0	674	11
VPS13B	1	82	1
VPS33B	0	685	0
VPS33B	1	82	1
VPS35P1	0	681	4
VPS35P1	1	82	1
VSX1	0	684	1
VSX1	1	83	0
VWF	0	683	2
VWF	1	83	0
WASHC5	0	683	2
WASHC5	1	83	0
WDR11	0	683	2
WDR11	1	83	0
WDR19	0	684	1
WDR19	1	83	0
WDR35	0	678	7
WDR35	1	83	0
WDR36	0	683	2
WDR36	1	83	0
WDR62	0	684	1
WDR62	1	83	0
WDR72	0	685	0
WDR72	1	83	0
WNK4	0	684	1
WNK4	1	83	0
WNT10A	0	684	1
WNT10A	1	83	0
WNT10B	0	684	1
WNT10B	1	83	0
WRAP53	0	684	1
WRAP53	1	83	0
WRN	0	681	4
WRN	1	83	0
WWOX	0	685	0
WWOX	1	83	0
XDH	0	679	6
XDH	1	82	1
XPA	0	682	3
XPA	1	83	0
XPC	0	683	2
XPC	1	82	1
XPNPEP3	0	685	0
XPNPEP3	1	83	0
XRCC2	0	684	1
XRCC2	1	83	0
ZAP70	0	684	1
ZAP70	1	83	0
ZBTB24	0	684	1
ZBTB24	1	83	0
ZC3H14	0	685	0
ZC3H14	1	82	1
ZFHX3	0	682	3
ZFHX3	1	83	0
ZFHX4	0	684	1
ZFHX4	1	83	0
ZFYVE26	0	684	1
ZFYVE26	1	82	1
ZIC2	0	684	1
ZIC2	1	83	0
ZMPSTE24	0	681	4
ZMPSTE24	1	83	0
ZMYND10	0	684	1
ZMYND10	1	83	0
ZNF335	0	684	1
ZNF335	1	83	0
ZNF407	0	684	1
ZNF407	1	83	0
ZNF526	0	683	2
ZNF526	1	83	0
ZNF644	0	682	3
ZNF644	1	81	2
